напиши sql запрос, который создает таблицу и вставляет в нее данные:

	Количество организаций представив-ших отчет, единиц 	Направлено денежных средств на																														
		Общий объем израсходованных денежных средств по всем видам деятельности, тыс рублей	Расходы по финансированию долгосрочных инвестиций	из них				Расходы обслуживающих производств и хозяйств, состоящих на балансе	из них																Выплаты социального характера работникам	Надбавки к пенсиям, еди-новременные пособия уходящим на пенсию	На благотвори-тельные цели	Перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет	Предста-вительские расходы	Оплата услуг банков и других финансово-кредитных учреждений	Оплата услуг рекламных агенств и аудиторских организаций	Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследова-тельских и опытно-конструкторских работ
				Долгосрочные инвестиции по обычным видам деятельности	из них				Текущие расходы на содержание объектов санаторно-курортных учреждений	Текущие расходы на содержание детских садов и яслей	Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей	Текущие расходы на содержание объектов физкультурно-оздоровительной деятельности	Текущие расходы на содержание объектов образования	Текущие расходы на содержание учреждений клубного типа	Расходы по предоставлению услуг лечебных  санаторно- курортных учреждений	Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений	Расходы по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Оплата сторонних организаций по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Расходы по предоставлению услуг физкультурно-оздоровительной деятельности	Оплата сторонних организаций по предоставлению услуг физкультурно-оздоровитель-ной деятельности	Расходы по предоставлению услуг образования	Оплата сторонних организаций по предоставлению услуг образования	Расходы по предоставлению услуг учреждений клубного типа	Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа								
					Расходы на финансирование затрат по капитальным вложениям	Расходы на создание и приобретение программного обеспечения 	Расходы на научно-исследовате-льские и опытно-конструкторские работы																									
A	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
       производство кокса	10 	364 694 276 	7 344 635 	7 178 555 	3 289 328 	22 565 	-	144 874 	1 866 	-	20 008 	636 	-	-	42 741 	-	24 246 	-	7 365 	-	-	-	-	-	92 802 	14 799 	78 550 	-	3 021 	35 422 	43 240 	-
       производство нефтепродуктов	114 	41 226 831 110 	2 096 976 152 	1 660 208 852 	989 557 769 	31 855 841 	5 167 519 	4 077 738 	476 213 	-	286 997 	94 140 	18 911 	17 675 	776 997 	214 102 	382 383 	106 710 	189 946 	27 661 	54 568 	9 389 	48 761 	-	9 561 730 	2 025 108 	22 702 194 	336 980 	274 142 	15 491 318 	27 999 011 	-
   производство химических веществ и химических продуктов	723 	11 812 513 829 	1 984 175 615 	1 648 032 470 	1 404 520 259 	4 564 440 	9 996 636 	7 489 036 	1 046 496 	9 989 	497 455 	286 864 	41 837 	85 594 	814 557 	92 711 	200 233 	58 117 	86 981 	12 566 	12 999 	11 307 	14 391 	302 	12 258 363 	1 142 164 	29 920 232 	137 328 992 	1 009 104 	21 189 071 	21 628 200 	22 640 
   производство лекарственных средств и материалов, применяемых в медицинских целях	244 	1 797 627 946 	131 210 272 	103 491 797 	65 186 384 	1 254 903 	24 801 816 	1 076 824 	8 016 	31 347 	39 182 	1 941 	460 	6 490 	9 839 	9 839 	-	-	36 	24 	19 450 	19 450 	-	-	1 645 857 	57 106 	3 713 213 	1 995 320 	597 194 	1 922 561 	25 284 445 	39 749 
   производство резиновых и пластмассовых изделий	662 	2 688 860 964 	105 867 892 	95 826 785 	73 381 937 	586 413 	2 357 017 	13 559 965 	11 511 	-	8 283 	7 607 	340 	1 071 	23 929 	5 249 	-	-	3 675 	573 	2 812 	2 021 	-	-	1 142 002 	59 287 	3 764 942 	66 903 345 	1 445 018 	4 939 891 	3 129 174 	192 
   производство прочей неметаллической минеральной продукции	966 	3 899 884 294 	289 241 954 	192 215 855 	146 554 709 	973 993 	328 691 	4 080 143 	124 761 	-	127 472 	144 958 	5 572 	8 599 	433 238 	266 455 	53 444 	20 142 	95 074 	13 169 	7 149 	445 	21 362 	3 813 	2 645 880 	159 258 	4 329 857 	36 279 501 	554 433 	4 226 094 	3 600 900 	646 
   производство металлургическое	470 	18 748 641 345 	1 457 199 220 	1 223 187 276 	786 846 684 	10 668 858 	12 892 601 	10 148 289 	937 558 	-	1 355 458 	907 053 	2 050 	453 485 	940 721 	64 202 	757 398 	238 638 	971 572 	164 695 	40 671 	5 071 	62 536 	42 216 	12 711 611 	2 594 172 	47 797 915 	10 115 608 	1 112 352 	23 698 487 	12 826 679 	67 869 
   производство готовых металлических изделий, кроме машин и оборудования	1 098 	7 686 363 009 	440 894 830 	353 603 671 	320 167 948 	4 461 306 	4 707 208 	7 045 137 	1 029 417 	88 555 	475 353 	719 655 	20 476 	91 534 	1 028 980 	243 288 	544 583 	39 356 	109 130 	22 660 	29 316 	12 695 	45 051 	11 267 	5 329 876 	379 486 	2 944 534 	57 687 424 	958 779 	7 608 399 	3 448 803 	11 847 
   производство компьютеров, электронных и оптических изделий	738 	4 902 874 415 	445 845 695 	405 878 310 	257 836 894 	19 979 307 	16 697 786 	3 290 245 	376 185 	3 297 	327 099 	217 118 	52 852 	33 415 	408 280 	161 578 	251 600 	23 408 	154 776 	72 202 	14 095 	10 512 	47 378 	3 642 	4 630 887 	304 695 	1 803 582 	1 467 711 	983 112 	4 554 002 	5 238 829 	10 114 
  производство электрического оборудования	564 	2 995 999 925 	127 470 469 	106 933 104 	90 266 665 	1 033 305 	2 664 927 	1 406 006 	74 794 	12 478 	59 794 	81 688 	-	30 206 	158 936 	15 801 	69 857 	1 607 	11 260 	143 	11 316 	11 316 	86 	-	1 549 726 	67 598 	1 018 850 	8 889 817 	519 077 	4 015 842 	2 255 585 	4 474 
