напиши sql запрос, который создает таблицу и вставляет в нее данные:

	Количество организаций представив-ших отчет, единиц 	Направлено денежных средств за счет прибыли на																														
		Общий объем израсходованных денежных средств по всем видам деятельности, тыс рублей	Расходы по финансированию долгосрочных инвестиций	из них				Расходы обслуживающих производств и хозяйств, состоящих на балансе	из них																Выплаты социального характера работникам	Надбавки к пенсиям, единовременные пособия уходящим на пенсию	На благотвори-тельные цели	Перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет	Представитель-ские расходы	Оплата услуг банков и других финансово-кредитных учреждений	Рекламных агенств и аудиторских организаций	Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследоватеьских и опытно-конструкторских работ
				Долгосрочные инвестиции по обычным видам деятельности	из них				Текущие расходы на содержание объектов санаторно-курортных учреждений	Текущие расходы на содержание детских садов и яслей	Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей	Текущие расходы на содержание объектов физкультурно-оздоровитель-ной деятельности	Текущие расходы на содержание объектов образования	Текущие расходы на содержание учреждений клубного типа	Расходы по предоставлению услуг лечебных  санаторно- курортных учреждений	Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений	Расходы по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Оплата сторонних организаций по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Расходы по предоставле-нию услуг физкультурно-оздоровительной деятельности	Оплата сторонних организаций по предоставлению услуг физкультурно-оздоровительной деятельности	Расходы по предоставлению услуг образования	Оплата сторонних организаций по предоставлению услуг образования	Расходы по предоставлению услуг учреждений клубного типа	Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа								
					Расходы на финансирование затрат по капитальным вложениям	Расходы на создание и приобретение программного обеспечения 	Расходы на научно-исследователькие и опытно-конструкторские работы																									
A	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
   производство прочих транспортных средств и оборудования	154 	30 875 627 	5 221 037 	4 448 365 	4 340 845 	-	107 520 	1 371 138 	62 333 	4 038 	140 823 	92 878 	1 722 	32 844 	114 033 	27 969 	302 158 	235 327 	119 568 	84 563 	5 912 	5 912 	97 720 	45 260 	2 540 313 	185 655 	2 041 997 	-	94 182 	384 804 	7 952 	-
   производство мебели	50 	3 978 838 	501 148 	498 071 	465 307 	150 	-	18 014 	-	-	-	-	-	-	9 634 	9 634 	-	-	-	-	-	-	-	-	18 013 	87 	40 017 	-	28 730 	7 305 	752 	-
  производство прочих готовых изделий	76 	9 939 514 	1 240 211 	1 226 292 	594 823 	3 791 	40 555 	31 234 	6 442 	-	-	59 	-	-	15 601 	-	-	-	166 	-	-	-	-	-	109 238 	2 414 	108 598 	-	12 859 	39 158 	4 661 	99 
ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА	868 	241 990 592 	69 122 986 	68 851 563 	43 314 357 	48 295 	6 601 351 	832 859 	41 038 	-	236 610 	116 937 	23 727 	-	339 924 	90 367 	1 283 	780 	10 801 	1 607 	-	-	-	-	7 983 503 	701 778 	6 465 781 	-	168 630 	852 153 	485 882 	10 044 
   производство, передача и распределение электроэнергии 	365 	194 714 268 	58 008 053 	57 869 575 	32 374 122 	34 585 	6 592 920 	556 000 	41 004 	-	32 382 	110 521 	23 727 	-	337 222 	90 367 	1 200 	780 	-	-	-	-	-	-	5 336 103 	382 123 	6 088 324 	-	154 492 	638 035 	466 240 	9 362 
   производство и распределение газообразного топлива	121 	27 581 106 	8 378 966 	8 378 966 	8 350 855 	10 531 	8 431 	72 552 	34 	-	21 471 	2 133 	-	-	2 688 	-	-	-	2 069 	-	-	-	-	-	1 592 611 	205 193 	130 617 	-	6 550 	49 718 	8 853 	-
  производство, передача и распределение пара и горячей воды; кондиционирование воздуха	382 	19 695 218 	2 735 967 	2 603 022 	2 589 380 	3 179 	-	204 307 	-	-	182 757 	4 283 	-	-	14 	-	83 	-	8 732 	1 607 	-	-	-	-	1 054 789 	114 462 	246 840 	-	7 588 	164 400 	10 789 	682 
ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ	407 	21 266 314 	5 072 819 	5 072 798 	5 042 307 	2 240 	-	96 803 	-	-	13 505 	6 916 	-	-	-	-	5 230 	-	1 738 	443 	117 	-	-	-	775 758 	81 591 	289 005 	-	7 282 	144 888 	5 880 	-
 СТРОИТЕЛЬСТВО	1 065 	257 730 790 	50 915 960 	6 242 982 	5 286 768 	104 172 	3 505 	141 223 	2 659 	-	34 	5 372 	-	-	24 259 	3 325 	4 311 	4 311 	14 899 	614 	-	-	-	-	3 651 287 	470 247 	5 242 309 	1 098 	273 522 	330 321 	50 021 	-
  строительство зданий	392 	124 947 959 	45 387 758 	1 519 330 	998 091 	5 119 	-	36 432 	2 659 	-	-	1 916 	-	-	20 982 	1 458 	55 	55 	10 820 	-	-	-	-	-	426 155 	34 928 	1 044 846 	-	139 310 	88 720 	36 510 	-
  строительство инженерных сооружений	368 	82 295 316 	3 262 036 	2 959 036 	2 546 870 	79 749 	-	89 709 	-	-	-	615 	-	-	1 898 	807 	-	-	614 	614 	-	-	-	-	2 525 748 	397 686 	3 822 185 	825 	117 183 	85 701 	3 820 	-
 ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ	3 281 	2 250 454 616 	64 981 051 	37 853 059 	28 578 686 	1 203 369 	31 144 	1 069 506 	4 165 	-	273 	326 	177 	-	800 	800 	250 	137 	28 025 	26 960 	29 430 	29 214 	-	-	4 701 462 	76 452 	109 837 663 	107 216 	1 652 917 	4 858 469 	6 355 875 	75 150 
    торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт	351 	434 916 941 	3 000 821 	1 849 429 	1 503 714 	42 094 	24 066 	1 518 	-	-	-	-	-	-	-	-	-	-	118 	118 	538 	538 	-	-	565 734 	1 687 	436 019 	-	154 430 	496 989 	1 080 375 	-
  торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами	2 499 	1 249 203 820 	17 379 943 	13 204 693 	5 923 493 	206 846 	7 078 	829 198 	2 648 	-	173 	326 	177 	-	800 	800 	113 	-	27 907 	26 842 	28 892 	28 676 	-	-	3 553 069 	34 896 	108 839 620 	105 216 	1 169 893 	1 550 722 	4 120 160 	75 150 
  торговля розничная, кроме торговли автотранспортными средствами и мотоциклами	431 	566 333 855 	44 600 287 	22 798 937 	21 151 479 	954 429 	-	238 790 	1 517 	-	100 	-	-	-	-	-	137 	137 	-	-	-	-	-	-	582 659 	39 869 	562 024 	2 000 	328 594 	2 810 758 	1 155 340 	-
